Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue,treatment
SRR20705567,RNA-Seq,50,3637345350,PRJNA863398,SAMN30032901,Plant,2113342730,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,C-271,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727177,Pakistan,Asia,Pakistan,BGISEQ-500,SMC71_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:49:00Z,1,SMC71_R,SRP388693,root,control
SRR20705568,RNA-Seq,50,3609800550,PRJNA863398,SAMN30032918,Plant,2008272555,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pothowar-70,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727176,Pakistan,Asia,Pakistan,BGISEQ-500,SMPT7_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:39:00Z,1,SMPT7_R,SRP388693,root,control
SRR20705569,RNA-Seq,50,3160240550,PRJNA863398,SAMN30032917,Plant,1778920810,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pasban-90,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727175,Pakistan,Asia,Pakistan,BGISEQ-500,SMP9_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:39:00Z,1,SMP9_R,SRP388693,root,control
SRR20705570,RNA-Seq,50,3235921600,PRJNA863398,SAMN30032916,Plant,1879859185,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Parwaz-94,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727174,Pakistan,Asia,Pakistan,BGISEQ-500,SMPZ_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:46:00Z,1,SMPZ_R,SRP388693,root,control
SRR20705571,RNA-Seq,50,3257833400,PRJNA863398,SAMN30032915,Plant,1901544485,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pari-73,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727173,Pakistan,Asia,Pakistan,BGISEQ-500,SMPA_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:48:00Z,1,SMPA_R,SRP388693,root,control
SRR20705572,RNA-Seq,50,3635782200,PRJNA863398,SAMN30032914,Plant,2124883459,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pak-13,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727172,Pakistan,Asia,Pakistan,BGISEQ-500,SMP3_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T03:00:00Z,1,SMP3_R,SRP388693,root,control
SRR20705573,RNA-Seq,50,2306654350,PRJNA863398,SAMN30032913,Plant,1339518708,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Pak-81,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727171,Pakistan,Asia,Pakistan,BGISEQ-500,SMP8_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T03:00:00Z,1,SMP8_R,SRP388693,root,control
SRR20705574,RNA-Seq,50,3205700350,PRJNA863398,SAMN30032912,Plant,1805177809,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,NARC-2009,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727170,Pakistan,Asia,Pakistan,BGISEQ-500,SMN9_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:41:00Z,1,SMN9_R,SRP388693,root,control
SRR20705575,RNA-Seq,50,3696183850,PRJNA863398,SAMN30032911,Plant,2006128094,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Maxipak-65,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727169,Pakistan,Asia,Pakistan,BGISEQ-500,SMMX_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T03:11:00Z,1,SMMX_R,SRP388693,root,control
SRR20705576,RNA-Seq,50,2293547350,PRJNA863398,SAMN30032910,Plant,1324568406,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Inquilab-91,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727168,Pakistan,Asia,Pakistan,BGISEQ-500,SMIN_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:41:00Z,1,SMIN_R,SRP388693,root,control
SRR20705577,RNA-Seq,50,3435978900,PRJNA863398,SAMN30032909,Plant,1983672288,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Gabo,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727167,Pakistan,Asia,Pakistan,BGISEQ-500,SMGB_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:47:00Z,1,SMGB_R,SRP388693,root,control
SRR20705578,RNA-Seq,50,3729886700,PRJNA863398,SAMN30032900,Plant,2184314621,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,C-217,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727166,Pakistan,Asia,Pakistan,BGISEQ-500,SMC17_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:52:00Z,1,SMC17_R,SRP388693,root,control
SRR20705579,RNA-Seq,50,3253150100,PRJNA863398,SAMN30032899,Plant,1901199295,"PLANT BIOLOGY LAB, QUAID-I-AZAM UNIVERSITY ISLAMABAD",public,Barani,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",seedling,SRX16727165,Pakistan,Asia,Pakistan,BGISEQ-500,SMB_R,SINGLE,PCR,TRANSCRIPTOMIC,Triticum aestivum,BGISEQ,2022-07-29T00:00:00Z,2022-07-29T02:39:00Z,1,SMB_R,SRP388693,root,control
